run,optimizer,optimizer_label,layer,epoch,metric,n,mean,std,sem,confidence,critical_value,ci_half_width,ci_low,ci_high,minimum,maximum
AdamW,adamw,AdamW,fc3,5,ERG_gap,3,1.666667,0.57735,0.333333,0.95,4.302653,1.434218,0.232449,3.100884,1.0,2.0
AdamW,adamw,AdamW,fc3,6,ERG_gap,3,1.666667,0.57735,0.333333,0.95,4.302653,1.434218,0.232449,3.100884,1.0,2.0
AdamW,adamw,AdamW,fc3,7,ERG_gap,3,1.666667,0.57735,0.333333,0.95,4.302653,1.434218,0.232449,3.100884,1.0,2.0
AdamW,adamw,AdamW,fc3,8,ERG_gap,3,1.333333,0.57735,0.333333,0.95,4.302653,1.434218,-0.100884,2.767551,1.0,2.0
AdamW,adamw,AdamW,fc3,9,ERG_gap,3,1.666667,0.57735,0.333333,0.95,4.302653,1.434218,0.232449,3.100884,1.0,2.0
AdamW,adamw,AdamW,fc3,10,ERG_gap,3,1.666667,0.57735,0.333333,0.95,4.302653,1.434218,0.232449,3.100884,1.0,2.0
AdamW,adamw,AdamW,fc3,11,ERG_gap,3,1.666667,0.57735,0.333333,0.95,4.302653,1.434218,0.232449,3.100884,1.0,2.0
AdamW,adamw,AdamW,fc3,12,ERG_gap,3,2.0,0.0,0.0,0.95,4.302653,0.0,2.0,2.0,2.0,2.0
AdamW,adamw,AdamW,fc3,13,ERG_gap,3,1.666667,0.57735,0.333333,0.95,4.302653,1.434218,0.232449,3.100884,1.0,2.0
AdamW,adamw,AdamW,fc3,14,ERG_gap,3,1.666667,0.57735,0.333333,0.95,4.302653,1.434218,0.232449,3.100884,1.0,2.0
AdamW,adamw,AdamW,fc3,15,ERG_gap,3,1.666667,0.57735,0.333333,0.95,4.302653,1.434218,0.232449,3.100884,1.0,2.0
AdamW,adamw,AdamW,fc3,16,ERG_gap,3,1.666667,0.57735,0.333333,0.95,4.302653,1.434218,0.232449,3.100884,1.0,2.0
AdamW,adamw,AdamW,fc3,17,ERG_gap,3,1.666667,0.57735,0.333333,0.95,4.302653,1.434218,0.232449,3.100884,1.0,2.0
AdamW,adamw,AdamW,fc3,18,ERG_gap,3,1.666667,0.57735,0.333333,0.95,4.302653,1.434218,0.232449,3.100884,1.0,2.0
AdamW,adamw,AdamW,fc3,19,ERG_gap,3,1.666667,0.57735,0.333333,0.95,4.302653,1.434218,0.232449,3.100884,1.0,2.0
AdamW,adamw,AdamW,fc3,20,ERG_gap,3,1.666667,0.57735,0.333333,0.95,4.302653,1.434218,0.232449,3.100884,1.0,2.0
AdamW,adamw,AdamW,fc3,21,ERG_gap,3,1.666667,0.57735,0.333333,0.95,4.302653,1.434218,0.232449,3.100884,1.0,2.0
AdamW,adamw,AdamW,fc3,22,ERG_gap,3,1.666667,0.57735,0.333333,0.95,4.302653,1.434218,0.232449,3.100884,1.0,2.0
AdamW,adamw,AdamW,fc3,23,ERG_gap,3,1.666667,0.57735,0.333333,0.95,4.302653,1.434218,0.232449,3.100884,1.0,2.0
AdamW,adamw,AdamW,fc3,24,ERG_gap,3,1.666667,0.57735,0.333333,0.95,4.302653,1.434218,0.232449,3.100884,1.0,2.0
AdamW,adamw,AdamW,fc3,25,ERG_gap,3,1.666667,0.57735,0.333333,0.95,4.302653,1.434218,0.232449,3.100884,1.0,2.0
AdamW,adamw,AdamW,fc3,26,ERG_gap,3,1.666667,0.57735,0.333333,0.95,4.302653,1.434218,0.232449,3.100884,1.0,2.0
AdamW,adamw,AdamW,fc3,27,ERG_gap,3,1.666667,0.57735,0.333333,0.95,4.302653,1.434218,0.232449,3.100884,1.0,2.0
AdamW,adamw,AdamW,fc3,28,ERG_gap,3,1.666667,0.57735,0.333333,0.95,4.302653,1.434218,0.232449,3.100884,1.0,2.0
AdamW,adamw,AdamW,fc3,29,ERG_gap,3,1.666667,0.57735,0.333333,0.95,4.302653,1.434218,0.232449,3.100884,1.0,2.0
AdamW,adamw,AdamW,fc3,30,ERG_gap,3,1.666667,0.57735,0.333333,0.95,4.302653,1.434218,0.232449,3.100884,1.0,2.0
AdamW,adamw,AdamW,fc1,0,alpha,3,11.646882,7.859929,4.537932,0.95,4.302653,19.525145,-7.878264,31.172027,6.148255,20.649379
AdamW,adamw,AdamW,fc1,1,alpha,3,12.469901,4.777011,2.758009,0.95,4.302653,11.866753,0.603148,24.336655,7.077813,16.172856
AdamW,adamw,AdamW,fc1,2,alpha,3,10.035372,1.279632,0.738796,0.95,4.302653,3.178783,6.856589,13.214155,8.89997,11.421978
AdamW,adamw,AdamW,fc1,3,alpha,3,6.943644,0.219012,0.126447,0.95,4.302653,0.544055,6.399588,7.487699,6.724357,7.16238
AdamW,adamw,AdamW,fc1,4,alpha,3,5.62358,0.176346,0.101813,0.95,4.302653,0.438067,5.185514,6.061647,5.419954,5.725561
AdamW,adamw,AdamW,fc1,5,alpha,3,5.034246,0.154161,0.089005,0.95,4.302653,0.382958,4.651288,5.417204,4.857155,5.138436
AdamW,adamw,AdamW,fc1,6,alpha,3,4.602726,0.099379,0.057377,0.95,4.302653,0.246872,4.355854,4.849598,4.49112,4.681643
AdamW,adamw,AdamW,fc1,7,alpha,3,4.368039,0.100441,0.05799,0.95,4.302653,0.24951,4.118529,4.617549,4.253701,4.442048
AdamW,adamw,AdamW,fc1,8,alpha,3,4.170075,0.031339,0.018094,0.95,4.302653,0.077851,4.092224,4.247927,4.136887,4.199162
AdamW,adamw,AdamW,fc1,9,alpha,3,3.98734,0.027727,0.016008,0.95,4.302653,0.068878,3.918461,4.056218,3.970353,4.019336
AdamW,adamw,AdamW,fc1,10,alpha,3,3.830536,0.004621,0.002668,0.95,4.302653,0.011478,3.819058,3.842014,3.825229,3.833664
AdamW,adamw,AdamW,fc1,11,alpha,3,3.748417,0.047375,0.027352,0.95,4.302653,0.117687,3.63073,3.866104,3.704041,3.798309
AdamW,adamw,AdamW,fc1,12,alpha,3,3.681234,0.081233,0.0469,0.95,4.302653,0.201795,3.47944,3.883029,3.617569,3.772723
AdamW,adamw,AdamW,fc1,13,alpha,3,3.627229,0.105718,0.061036,0.95,4.302653,0.262617,3.364611,3.889846,3.564461,3.749284
AdamW,adamw,AdamW,fc1,14,alpha,3,3.531278,0.024026,0.013871,0.95,4.302653,0.059684,3.471595,3.590962,3.505512,3.553067
AdamW,adamw,AdamW,fc1,15,alpha,3,3.505469,0.038804,0.022404,0.95,4.302653,0.096395,3.409074,3.601865,3.466273,3.543869
AdamW,adamw,AdamW,fc1,16,alpha,3,3.495297,0.044468,0.025674,0.95,4.302653,0.110465,3.384832,3.605761,3.466818,3.546538
AdamW,adamw,AdamW,fc1,17,alpha,3,3.484862,0.054179,0.03128,0.95,4.302653,0.134587,3.350275,3.619449,3.444828,3.546512
AdamW,adamw,AdamW,fc1,18,alpha,3,3.481792,0.056806,0.032797,0.95,4.302653,0.141114,3.340677,3.622906,3.437882,3.545947
AdamW,adamw,AdamW,fc1,19,alpha,3,3.491994,0.04647,0.02683,0.95,4.302653,0.115439,3.376555,3.607433,3.459488,3.545221
AdamW,adamw,AdamW,fc1,20,alpha,3,3.485904,0.038214,0.022063,0.95,4.302653,0.09493,3.390974,3.580834,3.457694,3.529394
AdamW,adamw,AdamW,fc1,21,alpha,3,3.484321,0.03779,0.021818,0.95,4.302653,0.093876,3.390444,3.578197,3.455766,3.527174
AdamW,adamw,AdamW,fc1,22,alpha,3,3.482931,0.037486,0.021643,0.95,4.302653,0.09312,3.389811,3.576051,3.454235,3.525343
AdamW,adamw,AdamW,fc1,23,alpha,3,3.481579,0.037249,0.021506,0.95,4.302653,0.092532,3.389046,3.574111,3.452724,3.52363
AdamW,adamw,AdamW,fc1,24,alpha,3,3.480327,0.037022,0.021375,0.95,4.302653,0.091969,3.388358,3.572296,3.451372,3.522041
AdamW,adamw,AdamW,fc1,25,alpha,3,3.479299,0.036773,0.021231,0.95,4.302653,0.091349,3.38795,3.570648,3.45034,3.520672
AdamW,adamw,AdamW,fc1,26,alpha,3,3.467306,0.045956,0.026533,0.95,4.302653,0.114162,3.353144,3.581468,3.433048,3.519532
AdamW,adamw,AdamW,fc1,27,alpha,3,3.4778,0.036506,0.021077,0.95,4.302653,0.090687,3.387113,3.568487,3.448682,3.518756
AdamW,adamw,AdamW,fc1,28,alpha,3,3.466271,0.045692,0.02638,0.95,4.302653,0.113505,3.352766,3.579775,3.432356,3.518229
AdamW,adamw,AdamW,fc1,29,alpha,3,3.466064,0.045638,0.026349,0.95,4.302653,0.113371,3.352693,3.579435,3.432227,3.51797
AdamW,adamw,AdamW,fc1,30,alpha,3,3.465982,0.045622,0.02634,0.95,4.302653,0.113333,3.352649,3.579314,3.432164,3.517872
AdamW,adamw,AdamW,fc2,0,alpha,3,11.078705,4.342865,2.507354,0.95,4.302653,10.788274,0.290431,21.86698,6.52113,15.169082
AdamW,adamw,AdamW,fc2,1,alpha,3,9.466851,2.210792,1.276401,0.95,4.302653,5.491911,3.974941,14.958762,7.95521,12.00419
AdamW,adamw,AdamW,fc2,2,alpha,3,9.581815,2.005394,1.157815,0.95,4.302653,4.981674,4.600141,14.563489,8.250306,11.888276
AdamW,adamw,AdamW,fc2,3,alpha,3,7.188437,0.554765,0.320294,0.95,4.302653,1.378112,5.810325,8.56655,6.549087,7.54257
AdamW,adamw,AdamW,fc2,4,alpha,3,5.936674,0.392567,0.226649,0.95,4.302653,0.97519,4.961484,6.911864,5.573778,6.353363
AdamW,adamw,AdamW,fc2,5,alpha,3,5.063125,0.024078,0.013901,0.95,4.302653,0.059813,5.003313,5.122938,5.040441,5.088389
AdamW,adamw,AdamW,fc2,6,alpha,3,4.579474,0.055089,0.031806,0.95,4.302653,0.136848,4.442626,4.716322,4.516588,4.619213
AdamW,adamw,AdamW,fc2,7,alpha,3,4.333862,0.047633,0.027501,0.95,4.302653,0.118328,4.215534,4.452189,4.288678,4.383616
AdamW,adamw,AdamW,fc2,8,alpha,3,4.116463,0.074688,0.043121,0.95,4.302653,0.185536,3.930927,4.301999,4.060898,4.201366
AdamW,adamw,AdamW,fc2,9,alpha,3,3.961915,0.066251,0.03825,0.95,4.302653,0.164575,3.79734,4.12649,3.921142,4.038358
AdamW,adamw,AdamW,fc2,10,alpha,3,3.812837,0.028051,0.016195,0.95,4.302653,0.069683,3.743153,3.88252,3.788125,3.843327
AdamW,adamw,AdamW,fc2,11,alpha,3,3.709434,0.05806,0.033521,0.95,4.302653,0.144229,3.565206,3.853663,3.650421,3.766491
AdamW,adamw,AdamW,fc2,12,alpha,3,3.647811,0.018526,0.010696,0.95,4.302653,0.046022,3.601789,3.693832,3.627868,3.664487
AdamW,adamw,AdamW,fc2,13,alpha,3,3.616505,0.008901,0.005139,0.95,4.302653,0.022111,3.594394,3.638615,3.607772,3.625565
AdamW,adamw,AdamW,fc2,14,alpha,3,3.560207,0.068697,0.039662,0.95,4.302653,0.170653,3.389554,3.730859,3.497609,3.6337
AdamW,adamw,AdamW,fc2,15,alpha,3,3.52477,0.094467,0.054541,0.95,4.302653,0.23467,3.2901,3.75944,3.431657,3.620536
AdamW,adamw,AdamW,fc2,16,alpha,3,3.508777,0.102072,0.058931,0.95,4.302653,0.253561,3.255217,3.762338,3.408534,3.612585
AdamW,adamw,AdamW,fc2,17,alpha,3,3.504415,0.102077,0.058934,0.95,4.302653,0.253573,3.250842,3.757988,3.403433,3.607553
AdamW,adamw,AdamW,fc2,18,alpha,3,3.499711,0.102104,0.05895,0.95,4.302653,0.253642,3.246069,3.753352,3.398397,3.602588
AdamW,adamw,AdamW,fc2,19,alpha,3,3.495793,0.101166,0.058408,0.95,4.302653,0.251311,3.244482,3.747104,3.394878,3.597209
AdamW,adamw,AdamW,fc2,20,alpha,3,3.475996,0.076832,0.044359,0.95,4.302653,0.190861,3.285136,3.666857,3.392367,3.543457
AdamW,adamw,AdamW,fc2,21,alpha,3,3.472667,0.076576,0.044211,0.95,4.302653,0.190225,3.282442,3.662892,3.389283,3.539837
AdamW,adamw,AdamW,fc2,22,alpha,3,3.465305,0.075338,0.043496,0.95,4.302653,0.187149,3.278156,3.652454,3.386439,3.536532
AdamW,adamw,AdamW,fc2,23,alpha,3,3.46251,0.075014,0.043309,0.95,4.302653,0.186346,3.276164,3.648855,3.384006,3.533463
AdamW,adamw,AdamW,fc2,24,alpha,3,3.459854,0.074605,0.043073,0.95,4.302653,0.185329,3.274526,3.645183,3.381964,3.53067
AdamW,adamw,AdamW,fc2,25,alpha,3,3.457785,0.074413,0.042962,0.95,4.302653,0.184852,3.272933,3.642637,3.380137,3.528474
AdamW,adamw,AdamW,fc2,26,alpha,3,3.45608,0.074167,0.04282,0.95,4.302653,0.184241,3.271839,3.640322,3.378787,3.526665
AdamW,adamw,AdamW,fc2,27,alpha,3,3.454755,0.073942,0.042691,0.95,4.302653,0.183683,3.271072,3.638438,3.37779,3.52525
AdamW,adamw,AdamW,fc2,28,alpha,3,3.453923,0.073791,0.042603,0.95,4.302653,0.183307,3.270616,3.637229,3.377158,3.524328
AdamW,adamw,AdamW,fc2,29,alpha,3,3.453498,0.07373,0.042568,0.95,4.302653,0.183156,3.270342,3.636655,3.376821,3.523878
AdamW,adamw,AdamW,fc2,30,alpha,3,3.453314,0.073689,0.042544,0.95,4.302653,0.183053,3.270262,3.636367,3.376689,3.523665
AdamW,adamw,AdamW,fc3,0,alpha,3,7.368381,0.581824,0.335916,0.95,4.302653,1.44533,5.923051,8.813712,6.700321,7.763975
AdamW,adamw,AdamW,fc3,1,alpha,3,6.673437,0.162454,0.093793,0.95,4.302653,0.403557,6.26988,7.076995,6.521634,6.844775
AdamW,adamw,AdamW,fc3,2,alpha,3,6.444828,0.337765,0.195009,0.95,4.302653,0.839054,5.605774,7.283882,6.205337,6.831159
AdamW,adamw,AdamW,fc3,3,alpha,3,5.961089,0.319985,0.184744,0.95,4.302653,0.794888,5.166201,6.755977,5.641326,6.281296
AdamW,adamw,AdamW,fc3,4,alpha,3,5.47154,0.424286,0.244962,0.95,4.302653,1.053985,4.417555,6.525525,5.154992,5.953645
AdamW,adamw,AdamW,fc3,5,alpha,3,5.130491,0.345249,0.19933,0.95,4.302653,0.857646,4.272845,5.988137,4.744085,5.408632
AdamW,adamw,AdamW,fc3,6,alpha,3,4.94855,0.584275,0.337331,0.95,4.302653,1.451418,3.497132,6.399969,4.35358,5.521506
