run,optimizer,optimizer_label,epoch,metric,n,mean,std,sem,confidence,critical_value,ci_half_width,ci_low,ci_high,minimum,maximum
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,18,mean_gradient_norm_before_clip,3,0.01855253,0.005443863,0.003143016,0.95,4.302653,0.01352331,0.005029228,0.03207584,0.01273587,0.02352495
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,19,mean_gradient_norm_before_clip,3,0.01162603,0.003031581,0.001750284,0.95,4.302653,0.007530864,0.004095167,0.01915689,0.009285728,0.01505067
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,20,mean_gradient_norm_before_clip,3,0.006466067,0.005343523,0.003085084,0.95,4.302653,0.01327405,-0.006807979,0.01974011,0.001476531,0.01210434
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,21,mean_gradient_norm_before_clip,3,0.0007104621,0.0006111273,0.0003528345,0.95,4.302653,0.001518124,-0.0008076624,0.002228587,0.0003348951,0.001415632
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,22,mean_gradient_norm_before_clip,3,0.0002942488,0.000377546,0.0002179763,0.95,4.302653,0.0009378763,-0.0006436274,0.001232125,5.322064e-05,0.000729358
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,23,mean_gradient_norm_before_clip,3,1.863533e-05,1.203279e-05,6.947134e-06,0.95,4.302653,2.98911e-05,-1.125578e-05,4.852643e-05,1.022479e-05,3.241844e-05
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,24,mean_gradient_norm_before_clip,3,3.08682e-06,2.349094e-06,1.35625e-06,0.95,4.302653,5.835474e-06,-2.748655e-06,8.922294e-06,6.736403e-07,5.366102e-06
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,25,mean_gradient_norm_before_clip,3,2.253067e-07,6.436405e-08,3.71606e-08,0.95,4.302653,1.598892e-07,6.541748e-08,3.851958e-07,1.815827e-07,2.992157e-07
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,26,mean_gradient_norm_before_clip,3,8.371568e-08,1.995772e-08,1.15226e-08,0.95,4.302653,4.957774e-08,3.413794e-08,1.332934e-07,6.573529e-08,1.051895e-07
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,27,mean_gradient_norm_before_clip,3,6.663325e-08,4.308696e-09,2.487627e-09,0.95,4.302653,1.070339e-08,5.592986e-08,7.733665e-08,6.30881e-08,7.142887e-08
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,28,mean_gradient_norm_before_clip,3,6.49399e-08,4.294049e-09,2.47917e-09,0.95,4.302653,1.066701e-08,5.427289e-08,7.560691e-08,6.082933e-08,6.939649e-08
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,29,mean_gradient_norm_before_clip,3,6.571289e-08,5.077123e-09,2.931278e-09,0.95,4.302653,1.261227e-08,5.310061e-08,7.832516e-08,6.154487e-08,7.136732e-08
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,30,mean_gradient_norm_before_clip,3,7.410265e-08,6.529692e-09,3.769919e-09,0.95,4.302653,1.622065e-08,5.7882e-08,9.032331e-08,6.682774e-08,7.945579e-08
