run,optimizer,optimizer_label,epoch,metric,n,mean,std,sem,confidence,critical_value,ci_half_width,ci_low,ci_high,minimum,maximum
AdamW,adamw,AdamW,29,mean_gradient_norm_before_clip,3,0.002185689,0.0001682686,9.714992e-05,0.95,4.302653,0.0004180024,0.001767686,0.002603691,0.002057392,0.002376207
AdamW,adamw,AdamW,30,mean_gradient_norm_before_clip,3,0.002136038,0.0001517613,8.761943e-05,0.95,4.302653,0.000376996,0.001759043,0.002513034,0.002015467,0.002306453
AdamW,adamw,AdamW,0,parameter_l2_norm,3,45.47855,0.04612266,0.02662893,0.95,4.302653,0.114575,45.36398,45.59313,45.42788,45.51808
AdamW,adamw,AdamW,1,parameter_l2_norm,3,45.58506,0.04931661,0.02847296,0.95,4.302653,0.1225092,45.46255,45.70757,45.53243,45.63021
AdamW,adamw,AdamW,2,parameter_l2_norm,3,45.89575,0.05988172,0.03457273,0.95,4.302653,0.1487544,45.74699,46.0445,45.83451,45.95418
AdamW,adamw,AdamW,3,parameter_l2_norm,3,46.32322,0.06950044,0.0401261,0.95,4.302653,0.1726487,46.15057,46.49587,46.26583,46.4005
AdamW,adamw,AdamW,4,parameter_l2_norm,3,46.63754,0.079944,0.04615569,0.95,4.302653,0.1985919,46.43895,46.83613,46.5869,46.7297
AdamW,adamw,AdamW,5,parameter_l2_norm,3,46.88291,0.09407755,0.0543157,0.95,4.302653,0.2337016,46.64921,47.11662,46.82012,46.99108
AdamW,adamw,AdamW,6,parameter_l2_norm,3,47.07416,0.09585491,0.05534186,0.95,4.302653,0.2381168,46.83604,47.31227,47.01723,47.18482
AdamW,adamw,AdamW,7,parameter_l2_norm,3,47.2139,0.1086806,0.06274675,0.95,4.302653,0.2699775,46.94392,47.48388,47.14854,47.33936
AdamW,adamw,AdamW,8,parameter_l2_norm,3,47.33154,0.07597199,0.04386245,0.95,4.302653,0.1887249,47.14281,47.52026,47.26554,47.41458
AdamW,adamw,AdamW,9,parameter_l2_norm,3,47.45965,0.07708223,0.04450344,0.95,4.302653,0.1914829,47.26816,47.65113,47.38559,47.53944
AdamW,adamw,AdamW,10,parameter_l2_norm,3,47.61805,0.09092268,0.05249423,0.95,4.302653,0.2258645,47.39218,47.84391,47.56337,47.72301
AdamW,adamw,AdamW,11,parameter_l2_norm,3,47.67643,0.09065846,0.05234169,0.95,4.302653,0.2252081,47.45122,47.90164,47.60049,47.7768
AdamW,adamw,AdamW,12,parameter_l2_norm,3,47.63682,0.1309221,0.07558794,0.95,4.302653,0.3252286,47.31159,47.96205,47.49103,47.74436
AdamW,adamw,AdamW,13,parameter_l2_norm,3,47.59929,0.1885695,0.1088706,0.95,4.302653,0.4684325,47.13086,48.06772,47.38476,47.73881
AdamW,adamw,AdamW,14,parameter_l2_norm,3,47.67334,0.1168373,0.06745602,0.95,4.302653,0.2902398,47.3831,47.96358,47.60393,47.80824
AdamW,adamw,AdamW,15,parameter_l2_norm,3,47.62105,0.1504425,0.08685805,0.95,4.302653,0.37372,47.24733,47.99477,47.46151,47.76035
AdamW,adamw,AdamW,16,parameter_l2_norm,3,47.5288,0.179967,0.103904,0.95,4.302653,0.4470627,47.08174,47.97587,47.32206,47.65033
AdamW,adamw,AdamW,17,parameter_l2_norm,3,47.41166,0.1874094,0.1082009,0.95,4.302653,0.4655507,46.94611,47.87721,47.19531,47.52405
AdamW,adamw,AdamW,18,parameter_l2_norm,3,47.30064,0.1868288,0.1078657,0.95,4.302653,0.4641085,46.83654,47.76475,47.08495,47.41173
AdamW,adamw,AdamW,19,parameter_l2_norm,3,47.20491,0.1849224,0.106765,0.95,4.302653,0.4593726,46.74554,47.66428,46.99142,47.31535
AdamW,adamw,AdamW,20,parameter_l2_norm,3,47.12469,0.1830589,0.1056891,0.95,4.302653,0.4547436,46.66995,47.57944,46.91338,47.23494
AdamW,adamw,AdamW,21,parameter_l2_norm,3,47.05928,0.1811624,0.1045942,0.95,4.302653,0.4500324,46.60925,47.50931,46.85019,47.16926
AdamW,adamw,AdamW,22,parameter_l2_norm,3,47.00745,0.1793999,0.1035766,0.95,4.302653,0.4456541,46.56179,47.4531,46.80042,47.11719
AdamW,adamw,AdamW,23,parameter_l2_norm,3,46.9679,0.1777703,0.1026357,0.95,4.302653,0.4416058,46.52629,47.4095,46.76278,47.07747
AdamW,adamw,AdamW,24,parameter_l2_norm,3,46.9391,0.1763854,0.1018362,0.95,4.302653,0.4381657,46.50093,47.37726,46.73562,47.04852
AdamW,adamw,AdamW,25,parameter_l2_norm,3,46.91939,0.1752138,0.1011597,0.95,4.302653,0.4352551,46.48414,47.35465,46.7173,47.0288
AdamW,adamw,AdamW,26,parameter_l2_norm,3,46.90698,0.1742462,0.1006011,0.95,4.302653,0.4328516,46.47412,47.33983,46.70603,47.01632
AdamW,adamw,AdamW,27,parameter_l2_norm,3,46.89998,0.1735947,0.1002249,0.95,4.302653,0.4312331,46.46874,47.33121,46.69981,47.00932
AdamW,adamw,AdamW,28,parameter_l2_norm,3,46.89678,0.1731523,0.0999695,0.95,4.302653,0.430134,46.46664,47.32691,46.69714,47.0061
AdamW,adamw,AdamW,29,parameter_l2_norm,3,46.89561,0.1729332,0.09984303,0.95,4.302653,0.4295899,46.46602,47.3252,46.69623,47.00494
AdamW,adamw,AdamW,30,parameter_l2_norm,3,46.89456,0.1728423,0.09979055,0.95,4.302653,0.4293641,46.4652,47.32392,46.69529,47.00389
AdamW,adamw,AdamW,0,primary_lr,3,5.813953e-07,0.0,0.0,0.95,4.302653,0.0,5.813953e-07,5.813953e-07,5.813953e-07,5.813953e-07
AdamW,adamw,AdamW,1,primary_lr,3,0.00025,0.0,0.0,0.95,4.302653,0.0,0.00025,0.00025,0.00025,0.00025
AdamW,adamw,AdamW,2,primary_lr,3,0.0005,0.0,0.0,0.95,4.302653,0.0,0.0005,0.0005,0.0005,0.0005
AdamW,adamw,AdamW,3,primary_lr,3,0.0004984382,0.0,0.0,0.95,4.302653,0.0,0.0004984382,0.0004984382,0.0004984382,0.0004984382
AdamW,adamw,AdamW,4,primary_lr,3,0.000493758,0.0,0.0,0.95,4.302653,0.0,0.000493758,0.000493758,0.000493758,0.000493758
AdamW,adamw,AdamW,5,primary_lr,3,0.0004860181,0.0,0.0,0.95,4.302653,0.0,0.0004860181,0.0004860181,0.0004860181,0.0004860181
AdamW,adamw,AdamW,6,primary_lr,3,0.0004753159,0.0,0.0,0.95,4.302653,0.0,0.0004753159,0.0004753159,0.0004753159,0.0004753159
AdamW,adamw,AdamW,7,primary_lr,3,0.0004617861,0.0,0.0,0.95,4.302653,0.0,0.0004617861,0.0004617861,0.0004617861,0.0004617861
AdamW,adamw,AdamW,8,primary_lr,3,0.0004455988,6.639355e-20,3.833234e-20,0.95,4.302653,1.6493069999999998e-19,0.0004455988,0.0004455988,0.0004455988,0.0004455988
AdamW,adamw,AdamW,9,primary_lr,3,0.0004269577,0.0,0.0,0.95,4.302653,0.0,0.0004269577,0.0004269577,0.0004269577,0.0004269577
AdamW,adamw,AdamW,10,primary_lr,3,0.0004060971,0.0,0.0,0.95,4.302653,0.0,0.0004060971,0.0004060971,0.0004060971,0.0004060971
AdamW,adamw,AdamW,11,primary_lr,3,0.0003832794,6.639355e-20,3.833234e-20,0.95,4.302653,1.6493069999999998e-19,0.0003832794,0.0003832794,0.0003832794,0.0003832794
AdamW,adamw,AdamW,12,primary_lr,3,0.0003587917,0.0,0.0,0.95,4.302653,0.0,0.0003587917,0.0003587917,0.0003587917,0.0003587917
AdamW,adamw,AdamW,13,primary_lr,3,0.0003329419,0.0,0.0,0.95,4.302653,0.0,0.0003329419,0.0003329419,0.0003329419,0.0003329419
AdamW,adamw,AdamW,14,primary_lr,3,0.0003060552,0.0,0.0,0.95,4.302653,0.0,0.0003060552,0.0003060552,0.0003060552,0.0003060552
AdamW,adamw,AdamW,15,primary_lr,3,0.0002784698,0.0,0.0,0.95,4.302653,0.0,0.0002784698,0.0002784698,0.0002784698,0.0002784698
AdamW,adamw,AdamW,16,primary_lr,3,0.0002505326,0.0,0.0,0.95,4.302653,0.0,0.0002505326,0.0002505326,0.0002505326,0.0002505326
AdamW,adamw,AdamW,17,primary_lr,3,0.0002225949,0.0,0.0,0.95,4.302653,0.0,0.0002225949,0.0002225949,0.0002225949,0.0002225949
AdamW,adamw,AdamW,18,primary_lr,3,0.0001950082,0.0,0.0,0.95,4.302653,0.0,0.0001950082,0.0001950082,0.0001950082,0.0001950082
AdamW,adamw,AdamW,19,primary_lr,3,0.0001681195,0.0,0.0,0.95,4.302653,0.0,0.0001681195,0.0001681195,0.0001681195,0.0001681195
AdamW,adamw,AdamW,20,primary_lr,3,0.000142267,0.0,0.0,0.95,4.302653,0.0,0.000142267,0.000142267,0.000142267,0.000142267
AdamW,adamw,AdamW,21,primary_lr,3,0.0001177757,0.0,0.0,0.95,4.302653,0.0,0.0001177757,0.0001177757,0.0001177757,0.0001177757
AdamW,adamw,AdamW,22,primary_lr,3,9.495384e-05,0.0,0.0,0.95,4.302653,0.0,9.495384e-05,9.495384e-05,9.495384e-05,9.495384e-05
AdamW,adamw,AdamW,23,primary_lr,3,7.408837e-05,0.0,0.0,0.95,4.302653,0.0,7.408837e-05,7.408837e-05,7.408837e-05,7.408837e-05
AdamW,adamw,AdamW,24,primary_lr,3,5.544174e-05,0.0,0.0,0.95,4.302653,0.0,5.544174e-05,5.544174e-05,5.544174e-05,5.544174e-05
AdamW,adamw,AdamW,25,primary_lr,3,3.92485e-05,0.0,0.0,0.95,4.302653,0.0,3.92485e-05,3.92485e-05,3.92485e-05,3.92485e-05
AdamW,adamw,AdamW,26,primary_lr,3,2.57123e-05,0.0,0.0,0.95,4.302653,0.0,2.57123e-05,2.57123e-05,2.57123e-05,2.57123e-05
AdamW,adamw,AdamW,27,primary_lr,3,1.500341e-05,0.0,0.0,0.95,4.302653,0.0,1.500341e-05,1.500341e-05,1.500341e-05,1.500341e-05
AdamW,adamw,AdamW,28,primary_lr,3,7.256521e-06,1.037399e-21,5.989427e-22,0.95,4.302653,2.577043e-21,7.256521e-06,7.256521e-06,7.256521e-06,7.256521e-06
AdamW,adamw,AdamW,29,primary_lr,3,2.569064e-06,0.0,0.0,0.95,4.302653,0.0,2.569064e-06,2.569064e-06,2.569064e-06,2.569064e-06
AdamW,adamw,AdamW,30,primary_lr,3,1e-06,0.0,0.0,0.95,4.302653,0.0,1e-06,1e-06,1e-06,1e-06
AdamW,adamw,AdamW,0,test_accuracy,3,0.1074333,0.01880062,0.01085454,0.95,4.302653,0.04670333,0.06073,0.1541367,0.087,0.124
AdamW,adamw,AdamW,1,test_accuracy,3,0.9443,0.0005567764,0.000321455,0.95,4.302653,0.001383109,0.9429169,0.9456831,0.9437,0.9448
AdamW,adamw,AdamW,2,test_accuracy,3,0.9654,0.002330236,0.001345362,0.95,4.302653,0.005788627,0.9596114,0.9711886,0.9635,0.968
AdamW,adamw,AdamW,3,test_accuracy,3,0.9724667,0.004572016,0.002639655,0.95,4.302653,0.01135752,0.9611091,0.9838242,0.9675,0.9765
