arm,arm_label,family,variant,layer,epoch,metric,n,mean,std,sem,ci_half_width,ci_low,ci_high,minimum,maximum
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc1,6,alpha,3,2.904713,0.362177,0.209103,0.899697,2.005016,3.80441,2.59517,3.30302
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc1,7,alpha,3,2.953173,0.28647,0.165394,0.711631,2.241542,3.664805,2.628438,3.170086
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc1,8,alpha,3,4.321429,2.524005,1.457235,6.269976,-1.948547,10.591404,2.368211,7.171352
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc1,9,alpha,3,2.637423,0.45647,0.263543,1.133934,1.503489,3.771358,2.278719,3.151235
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc1,10,alpha,3,2.635804,0.184398,0.106462,0.45807,2.177734,3.093874,2.45293,2.821689
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc1,11,alpha,3,2.482916,0.237055,0.136864,0.588878,1.894038,3.071793,2.220763,2.682198
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc1,12,alpha,3,2.283008,0.04465,0.025779,0.110917,2.172091,2.393925,2.234026,2.321434
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc1,13,alpha,3,2.304407,0.09108,0.052585,0.226256,2.07815,2.530663,2.224055,2.403348
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc1,14,alpha,3,2.233006,0.008999,0.005196,0.022356,2.21065,2.255362,2.223764,2.241742
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc1,15,alpha,3,2.134468,0.211976,0.122384,0.526578,1.60789,2.661046,1.942825,2.362155
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc1,16,alpha,3,2.152601,0.041143,0.023754,0.102205,2.050396,2.254806,2.120461,2.19897
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc1,17,alpha,3,1.966254,0.117305,0.067726,0.291403,1.674852,2.257657,1.834554,2.059524
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc1,18,alpha,3,2.103541,0.186989,0.107958,0.464507,1.639034,2.568048,1.904405,2.275384
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc1,19,alpha,3,2.100339,0.183984,0.106223,0.457041,1.643298,2.55738,1.899996,2.261724
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc1,20,alpha,3,2.045209,0.13442,0.077608,0.333919,1.711291,2.379128,1.894305,2.152121
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc1,21,alpha,3,2.102348,0.023269,0.013435,0.057805,2.044544,2.160153,2.079534,2.126048
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc1,22,alpha,3,2.029829,0.134885,0.077876,0.335072,1.694757,2.364901,1.878731,2.138104
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc1,23,alpha,3,1.870458,0.088076,0.050851,0.218793,1.651665,2.08925,1.798408,1.968644
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc1,24,alpha,3,1.892921,0.136434,0.07877,0.338921,1.554,2.231843,1.793009,2.048364
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc1,25,alpha,3,1.967397,0.117121,0.06762,0.290944,1.676453,2.25834,1.860522,2.092601
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc1,26,alpha,3,1.963279,0.114011,0.065825,0.28322,1.680059,2.246499,1.859941,2.085585
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc1,27,alpha,3,1.960709,0.113331,0.065432,0.281529,1.67918,2.242239,1.858579,2.082633
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc1,28,alpha,3,1.957682,0.112038,0.064685,0.278318,1.679364,2.236,1.855821,2.077683
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc1,29,alpha,3,1.865049,0.066626,0.038467,0.165509,1.69954,2.030559,1.80523,1.936856
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc1,30,alpha,3,1.855261,0.076931,0.044416,0.191108,1.664153,2.046369,1.781053,1.934653
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc2,0,alpha,3,11.078705,4.342865,2.507354,10.788274,0.290431,21.86698,6.52113,15.169082
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc2,1,alpha,3,9.14054,1.549617,0.894672,3.849462,5.291078,12.990003,8.241429,10.929877
new_muon,"new Muon, horizon optimized",sgd_momentum_muon,horizon_optimized,fc2,2,alpha,3,7.665326,2.458927,1.419662,6.108314,1.557012,13.77364,4.903877,9.617997
