run,optimizer,optimizer_label,layer,epoch,metric,n,mean,std,sem,confidence,critical_value,ci_half_width,ci_low,ci_high,minimum,maximum
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc1,4,alpha,3,3.881948,0.344268,0.198763,0.95,4.302653,0.855209,3.026738,4.737157,3.596204,4.264159
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc1,5,alpha,3,3.23303,0.415428,0.239847,0.95,4.302653,1.031979,2.201051,4.265009,2.912313,3.702315
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc1,6,alpha,3,2.904713,0.362177,0.209103,0.95,4.302653,0.899697,2.005016,3.80441,2.59517,3.30302
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc1,7,alpha,3,2.953173,0.28647,0.165394,0.95,4.302653,0.711631,2.241542,3.664805,2.628438,3.170086
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc1,8,alpha,3,4.321429,2.524005,1.457235,0.95,4.302653,6.269976,-1.948547,10.591404,2.368211,7.171352
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc1,9,alpha,3,2.637423,0.45647,0.263543,0.95,4.302653,1.133934,1.503489,3.771358,2.278719,3.151235
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc1,10,alpha,3,2.635804,0.184398,0.106462,0.95,4.302653,0.45807,2.177734,3.093874,2.45293,2.821689
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc1,11,alpha,3,2.482916,0.237055,0.136864,0.95,4.302653,0.588878,1.894038,3.071793,2.220763,2.682198
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc1,12,alpha,3,2.283008,0.04465,0.025779,0.95,4.302653,0.110917,2.172091,2.393925,2.234026,2.321434
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc1,13,alpha,3,2.304407,0.09108,0.052585,0.95,4.302653,0.226256,2.07815,2.530663,2.224055,2.403348
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc1,14,alpha,3,2.233006,0.008999,0.005196,0.95,4.302653,0.022356,2.21065,2.255362,2.223764,2.241742
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc1,15,alpha,3,2.134468,0.211976,0.122384,0.95,4.302653,0.526578,1.60789,2.661046,1.942825,2.362155
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc1,16,alpha,3,2.152601,0.041143,0.023754,0.95,4.302653,0.102205,2.050396,2.254806,2.120461,2.19897
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc1,17,alpha,3,1.966254,0.117305,0.067726,0.95,4.302653,0.291403,1.674852,2.257657,1.834554,2.059524
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc1,18,alpha,3,2.103541,0.186989,0.107958,0.95,4.302653,0.464507,1.639034,2.568048,1.904405,2.275384
Muon + auxiliary AdamW,sgd_momentum_muon,Muon + auxiliary AdamW,fc1,19,alpha,3,2.100339,0.183984,0.106223,0.95,4.302653,0.457041,1.643298,2.55738,1.899996,2.261724
